ProductID,ProductName,Category,SubCategory,UnitPrice,CostPrice,ProfitMargin
P001,Like Camera,Electronics,Camera,1673.69,1323.38,20.93
P002,Audience Television,Electronics,Television,818.76,527.62,35.56
P003,Here Footwear,Fashion,Footwear,337.63,169.03,49.94
P004,Four Accessories,Fashion,Accessories,1853.77,1363.52,26.45
P005,Knowledge Bags,Fashion,Bags,1396.22,1004.09,28.09
P006,Company Fruits,Groceries,Fruits,318.05,187.34,41.1
P007,Understand Camera,Electronics,Camera,1474.12,764.02,48.17
P008,Recognize Footwear,Fashion,Footwear,109.78,70.59,35.7
P009,Us Snacks,Groceries,Snacks,123.19,80.36,34.77
P010,Step Smartphone,Electronics,Smartphone,1194.12,838.95,29.74
P011,Either Headphones,Electronics,Headphones,248.57,190.67,23.29
P012,Above Camera,Electronics,Camera,1193.09,818.24,31.42
P013,World Watches,Fashion,Watches,1134.8,675.1,40.51
P014,Add Clothing,Fashion,Clothing,1342.75,797.94,40.57
P015,Whether Bags,Fashion,Bags,270.45,187.6,30.63
P016,House Accessories,Fashion,Accessories,1858.75,1451.16,21.93
P017,Find Headphones,Electronics,Headphones,1246.11,833.52,33.11
P018,Democratic Smartphone,Electronics,Smartphone,1079.89,703.83,34.82
P019,Traditional Laptop,Electronics,Laptop,1762.92,1346.48,23.62
P020,Simple Accessories,Fashion,Accessories,323.92,242.98,24.99
P021,Firm Dairy,Groceries,Dairy,1227.24,977.09,20.38
P022,How Vegetables,Groceries,Vegetables,25.57,19.05,25.5
P023,And Footwear,Fashion,Footwear,1878.47,1014.91,45.97
P024,Him Smartphone,Electronics,Smartphone,1487.41,813.07,45.34
P025,Little Watches,Fashion,Watches,429.15,258.72,39.71
P026,Behavior Dairy,Groceries,Dairy,1015.76,584.4,42.47
P027,Hospital Smartphone,Electronics,Smartphone,1272.23,952.65,25.12
P028,Deal Smartphone,Electronics,Smartphone,673.78,363.33,46.08
P029,Road Clothing,Fashion,Clothing,1485.05,988.31,33.45
P030,National Watches,Fashion,Watches,29.24,15.28,47.74
P031,Foot Snacks,Groceries,Snacks,1095.72,822.2,24.96
P032,Difficult Vegetables,Groceries,Vegetables,304.71,164.01,46.18
P033,Beat Accessories,Fashion,Accessories,1798.97,1329.15,26.12
P034,Everything Laptop,Electronics,Laptop,428.05,246.07,42.51
P035,Chair Laptop,Electronics,Laptop,1562.43,1195.63,23.48
P036,New Watches,Fashion,Watches,1501.46,1167.73,22.23
P037,Book Television,Electronics,Television,1952.65,1451.27,25.68
P038,Stage Footwear,Fashion,Footwear,366.93,285.23,22.27
P039,Church Clothing,Fashion,Clothing,540.94,398.25,26.38
P040,Piece Headphones,Electronics,Headphones,1745.61,1322.44,24.24
P041,Present Television,Electronics,Television,1635.01,1043.29,36.19
P042,Maybe Clothing,Fashion,Clothing,453.62,316.63,30.2
P043,Soon Accessories,Fashion,Accessories,564.42,293.96,47.92
P044,Least Accessories,Fashion,Accessories,1286.55,797.54,38.01
P045,Set Dairy,Groceries,Dairy,1879.08,1004.56,46.54
P046,Nature Clothing,Fashion,Clothing,1165.37,926.55,20.49
P047,Or Smartphone,Electronics,Smartphone,1197.18,722.74,39.63
P048,Nor Bags,Fashion,Bags,1216.36,794.8,34.66
P049,Possible Watches,Fashion,Watches,388.26,199.3,48.67
P050,Maybe Footwear,Fashion,Footwear,1044.64,775.07,25.81
