TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod,TotalAmount
T00001,2024-06-18,C160,P014,S003,1,0.1,Bank Transfer,1208.48
T00002,2023-11-02,C171,P030,S004,3,0.15,Bank Transfer,74.56
T00003,2024-03-28,C142,P002,S002,2,0.15,Mobile Money,1391.89
T00004,2024-06-15,C174,P050,S002,5,0.1,Mobile Money,4700.88
T00005,2024-08-29,C141,P036,S001,3,0.1,Credit Card,4053.94
T00006,2025-03-28,C111,P036,S005,5,0.1,Mobile Money,6756.57
T00007,2024-11-09,C114,P009,S004,2,0.15,Credit Card,209.42
T00008,2024-05-28,C169,P005,S001,3,0.1,Cash,3769.79
T00009,2024-09-04,C193,P035,S002,3,0.05,Credit Card,4452.93
T00010,2024-06-16,C038,P045,S001,1,0.05,Mobile Money,1785.13
T00011,2025-03-09,C157,P022,S001,4,0.15,Credit Card,86.94
T00012,2024-06-06,C184,P042,S004,4,0.15,Credit Card,1542.31
T00013,2023-10-02,C038,P048,S001,1,0.15,Credit Card,1033.91
T00014,2024-10-28,C046,P034,S005,4,0.0,Credit Card,1712.2
T00015,2025-03-23,C032,P016,S004,2,0.15,Bank Transfer,3159.88
T00016,2023-12-14,C194,P024,S004,5,0.15,Mobile Money,6321.49
T00017,2024-12-24,C041,P026,S004,4,0.1,Credit Card,3656.74
T00018,2025-05-30,C164,P033,S003,5,0.15,Credit Card,7645.62
T00019,2025-04-21,C071,P011,S004,1,0.1,Credit Card,223.71
T00020,2025-01-07,C070,P007,S003,3,0.0,Credit Card,4422.36
T00021,2024-11-16,C039,P018,S002,4,0.05,Credit Card,4103.58
T00022,2024-11-26,C017,P022,S004,4,0.1,Mobile Money,92.05
T00023,2024-08-02,C107,P023,S001,2,0.15,Mobile Money,3193.4
T00024,2025-03-30,C198,P013,S005,1,0.15,Mobile Money,964.58
T00025,2024-06-02,C002,P039,S003,3,0.15,Mobile Money,1379.4
T00026,2024-10-26,C138,P021,S005,5,0.05,Mobile Money,5829.39
T00027,2024-01-23,C057,P039,S003,4,0.15,Cash,1839.2
T00028,2024-12-15,C100,P020,S003,4,0.05,Mobile Money,1230.9
T00029,2025-04-09,C033,P013,S005,5,0.0,Mobile Money,5674.0
T00030,2025-02-26,C152,P028,S005,1,0.0,Mobile Money,673.78
T00031,2024-12-16,C035,P019,S004,2,0.0,Bank Transfer,3525.84
T00032,2025-01-16,C098,P028,S003,2,0.15,Bank Transfer,1145.43
T00033,2025-07-20,C087,P021,S004,3,0.15,Bank Transfer,3129.46
T00034,2023-11-13,C021,P037,S004,1,0.0,Bank Transfer,1952.65
T00035,2024-02-16,C058,P047,S001,1,0.0,Credit Card,1197.18
T00036,2025-06-03,C052,P049,S001,5,0.05,Credit Card,1844.24
T00037,2024-01-17,C033,P030,S004,1,0.05,Mobile Money,27.78
T00038,2025-05-06,C180,P041,S003,3,0.05,Cash,4659.78
T00039,2024-10-13,C200,P001,S002,3,0.0,Cash,5021.07
T00040,2024-08-02,C080,P011,S005,4,0.15,Credit Card,845.14
T00041,2023-12-20,C020,P044,S005,2,0.0,Bank Transfer,2573.1
T00042,2024-06-03,C176,P025,S005,1,0.0,Bank Transfer,429.15
T00043,2024-10-30,C137,P011,S004,3,0.0,Bank Transfer,745.71
T00044,2024-12-31,C004,P033,S004,4,0.0,Mobile Money,7195.88
T00045,2024-09-30,C093,P045,S004,2,0.15,Credit Card,3194.44
T00046,2023-11-27,C188,P027,S005,3,0.15,Mobile Money,3244.19
T00047,2025-05-06,C112,P045,S005,3,0.1,Credit Card,5073.52
T00048,2025-01-25,C023,P011,S003,4,0.05,Mobile Money,944.57
T00049,2025-08-09,C146,P013,S005,4,0.1,Cash,4085.28
T00050,2025-08-14,C127,P007,S003,2,0.15,Credit Card,2506.0
T00051,2024-09-25,C091,P026,S003,3,0.1,Bank Transfer,2742.55
T00052,2025-05-09,C143,P022,S001,5,0.05,Cash,121.46
T00053,2024-09-30,C062,P047,S004,4,0.05,Mobile Money,4549.28
T00054,2024-01-29,C166,P001,S004,4,0.0,Cash,6694.76
T00055,2024-06-27,C076,P009,S002,4,0.05,Bank Transfer,468.12
T00056,2025-08-19,C170,P028,S005,3,0.15,Bank Transfer,1718.14
T00057,2024-10-11,C109,P011,S005,3,0.1,Mobile Money,671.14
T00058,2024-01-20,C070,P034,S003,3,0.05,Cash,1219.94
T00059,2025-02-14,C185,P027,S002,3,0.0,Credit Card,3816.69
T00060,2024-11-26,C050,P044,S002,4,0.1,Bank Transfer,4631.58
T00061,2025-03-20,C026,P006,S002,3,0.05,Bank Transfer,906.44
T00062,2025-05-03,C046,P027,S003,1,0.05,Bank Transfer,1208.62
T00063,2024-06-01,C012,P036,S001,5,0.1,Credit Card,6756.57
T00064,2024-11-15,C164,P048,S004,1,0.0,Bank Transfer,1216.36
T00065,2024-05-26,C121,P028,S004,4,0.1,Credit Card,2425.61
T00066,2024-04-20,C014,P010,S003,4,0.0,Cash,4776.48
T00067,2025-02-16,C103,P042,S004,1,0.0,Credit Card,453.62
T00068,2024-03-15,C039,P002,S005,3,0.0,Credit Card,2456.28
T00069,2023-11-14,C031,P040,S005,4,0.05,Mobile Money,6633.32
